,Mkt-RF,SMB,HML,RF,MCHP,OXY,PEP,UPS,GBTC
20181228,3.14,1.09,-1.34,0.0480,5.2293,0.8136,0.8554,3.1892,-3.5339
20181221,-7.32,-1.62,2.08,0.0480,-5.2293,-8.1913,-4.0566,-5.3718,11.7783
20181214,-1.45,-1.33,-1.59,0.0480,1.9451,-1.0259,-0.8369,-6.5324,-3.5809
20181207,-4.83,-0.73,-0.48,0.0480,-6.5285,-5.4542,-5.1492,-9.0447,-22.6154
20181130,4.78,-1.81,-1.78,0.0440,1.3926,0.6281,5.5038,5.8951,2.2291
20181123,-3.74,1.19,0.83,0.0440,-1.7074,-4.9588,-2.5155,-0.4525,-21.4913
20181116,-1.65,0.23,0.3,0.0440,4.7119,-0.2314,0.7378,0.5282,-15.4387
20181109,1.75,-2.59,1.18,0.0440,3.3696,7.3909,5.5208,3.2671,1.8585
20181102,2.88,1.59,0.65,0.0440,11.1690,0.5873,0.6498,0.6436,-0.5755
20181026,-4.06,0.39,-1.17,0.0470,-7.2056,-6.0980,0.1450,-10.0897,-1.1412
20181019,-0.15,-0.97,0.57,0.0470,-1.8184,-6.4123,4.6490,0.7323,2.8779
20181012,-4.26,-0.75,-0.04,0.0470,-1.4832,-5.6089,-1.1428,-1.3741,-6.3626
20181005,-1.42,-3.16,3.34,0.0470,-13.0152,-0.9415,-4.8661,0.4188,-8.4039
20180928,-0.52,0.07,-2.62,0.0380,-4.7516,3.1776,-2.7438,-1.4794,-10.8504
20180921,0.54,-1.19,1.77,0.0380,-1.0219,2.5704,0.2963,-1.5908,3.4486
20180914,1.2,-0.47,-0.75,0.0380,0.6601,2.2166,2.4339,-2.1367,2.4868
20180907,-1.14,-0.81,0.27,0.0380,-3.5253,-4.1151,0.6496,0.0895,-13.0229
20180831,0.96,-0.05,-1.87,0.0410,-0.6588,0.6658,-0.1249,0.1140,3.4265
20180824,1.06,1.32,-0.96,0.0410,4.6717,1.0007,-2.4747,1.5230,3.4352
20180817,0.46,-0.38,0.05,0.0410,-5.1649,-0.2924,1.8347,2.0990,-7.9088
20180810,0.05,0.91,-0.78,0.0410,-8.4214,-4.3590,-2.9936,0.1007,-5.5711
20180803,0.65,-0.07,0.26,0.0410,-0.2311,-1.4238,1.7521,0.4121,-16.3258
20180727,0.17,-2.75,1.45,0.0400,0.9911,0.4683,-1.5025,5.7139,8.2836
20180720,0.14,0.06,0.48,0.0400,0.3609,-0.6718,2.9036,2.8051,17.4353
20180713,1.39,-1.63,-1.21,0.0400,0.6615,-0.7267,2.8168,2.7351,-10.1783
20180706,1.65,1.74,-1.05,0.0400,2.6689,0.6789,0.6318,-0.1884,18.1735
20180629,-1.6,-1.31,0.01,0.0340,-6.3576,0.4191,0.4603,-6.7957,-16.8946
20180622,-0.85,1.39,0.15,0.0340,-5.0891,0.0000,0.7038,-2.6643,-8.0804
20180615,0.21,0.89,-2.23,0.0340,-0.1666,-1.6413,4.8748,0.1457,-14.8263
20180608,1.68,0.44,-0.19,0.0340,1.0827,0.4338,3.1253,-0.5559,4.8397
20180601,0.61,1.26,-1.23,0.0340,5.3248,3.2242,-0.0598,1.5124,-0.4124
20180525,0.22,-0.34,-0.4,0.0350,3.5821,-3.5995,2.8310,0.8789,-10.7950
20180518,-0.22,2.51,-0.04,0.0350,-0.1615,0.5282,0.0821,-0.0607,-4.0896
20180511,2.43,0.4,-0.27,0.0350,6.0309,8.9314,-1.5885,3.6518,-10.0455
20180504,-0.16,1.05,-1.28,0.0350,3.3110,0.8659,-2.7107,-2.3792,0.5790
20180427,-0.29,-0.56,0.42,0.0360,-1.1976,0.7426,-0.7542,4.8900,4.2840
20180420,0.73,0.08,0.51,0.0360,-1.9075,3.7846,-6.4063,1.2048,9.3830
20180413,2.05,0.98,-1.02,0.0360,1.2212,8.6481,-0.0366,1.8064,24.8044
20180406,-1.38,0.56,0.68,0.0360,-5.7326,3.8800,0.1373,0.6381,0.5703
20180329,1.8,-1.12,0.87,0.0290,-2.8593,-0.8126,2.7870,2.9083,-26.8432
20180323,-5.82,1.65,-0.18,0.0290,-4.3401,1.6008,-5.0426,-8.7085,-3.6498
20180316,-1.21,0.82,-0.1,0.0290,-0.8014,2.4058,-0.8029,0.4790,-5.2031
20180309,3.59,0.33,-0.16,0.0290,8.0775,-3.0472,3.8957,4.6451,-18.2988
20180302,-1.74,1.05,-0.9,0.0290,7.3871,-4.0017,-0.5852,-0.2275,4.4881
20180223,0.48,0.1,-0.59,0.0280,2.0764,0.2345,-1.2504,0.0985,-3.1458
20180216,4.51,0.11,-0.6,0.0280,2.8825,-0.0293,-0.1080,0.0094,21.3896
20180209,-5.09,1.01,0.05,0.0280,-14.0984,-7.6222,-6.5196,-9.0522,17.8146
20180202,-3.81,-0.49,-0.14,0.0280,-3.7856,-4.7767,-2.5705,-13.0608,-40.9730
20180126,2.05,-1.46,-1.09,0.0280,-0.5557,2.1345,1.3144,-0.2709,-7.2126
20180119,0.84,-0.63,-0.5,0.0280,4.2020,-1.2888,2.3491,-0.7561,-10.8168
20180112,1.81,0.4,1.11,0.0280,1.2709,2.6213,-1.0930,4.9454,-17.1211
20180105,2.54,-0.64,-0.46,0.0280,4.8639,1.2010,-1.0478,6.8674,14.8129
20171229,-0.37,0.02,-0.19,0.0220,-1.1765,0.9138,1.1068,0.4290,
20171222,0.54,0.79,0.47,0.0220,2.4707,3.3009,-0.5214,0.5409,
20171215,0.81,-0.24,-0.69,0.0220,-0.7579,3.6248,2.2479,-1.3134,
20171208,0.3,-1.42,0.17,0.0220,0.4702,-1.9697,0.5114,-0.6253,
20171201,1.61,-0.91,2.21,0.0220,-4.0643,2.6253,0.7564,6.1446,
20171124,1.04,1.1,-0.85,0.0210,-0.3621,0.0292,1.0582,0.1769,
20171117,0.21,1.12,0.03,0.0210,-0.2844,0.3368,1.6973,0.4837,
20171110,-0.41,-1.07,-0.95,0.0210,-2.2677,-0.1319,2.2695,-1.9503,
20171103,0.19,-1.25,-0.34,0.0210,-1.1254,4.8168,-0.3442,-4.4798,
20171027,0.25,-0.6,-0.09,0.0210,2.1233,-0.6436,-0.9091,0.8233,
20171020,0.9,-0.76,0.76,0.0210,1.0516,1.1367,-0.9009,1.1759,
20171013,0.03,-0.67,-0.25,0.0210,0.2291,1.2749,1.9909,0.5592,
20171006,1.28,0.12,-0.19,0.0210,1.9523,-0.4683,-0.9286,-2.0102,
20170929,0.91,2.16,0.59,0.0240,0.1003,1.9977,-0.3762,2.0357,
20170922,0.39,0.87,1.58,0.0240,0.0781,2.5587,-2.6468,-0.1953,
20170915,1.7,0.68,1.78,0.0240,3.4625,3.0784,-0.1653,2.4470,
20170908,-0.77,0.27,-1.39,0.0240,-1.4678,0.8167,0.0044,0.5753,
20170901,1.61,1.43,-1.44,0.0240,6.1258,0.8910,-0.0086,0.8692,
20170825,0.82,0.56,0.7,0.0210,1.7099,0.1183,-1.4993,0.0529,
20170818,-0.67,-0.74,-0.37,0.0210,-0.7693,-3.2926,0.9312,2.4317,
20170811,-1.52,-1,-1.09,0.0210,-1.5450,-1.5582,0.1202,-0.5459,
20170804,0.09,-1.78,0.84,0.0210,3.3988,-1.0255,-0.2060,2.1561,
20170728,-0.03,-0.56,0.7,0.0180,-0.2228,4.3996,-0.0171,-2.7167,
20170721,0.55,0.06,-0.47,0.0180,0.0495,0.3504,1.4683,0.2399,
20170714,1.36,-0.12,-1.29,0.0180,3.1158,1.9241,-0.5034,1.8405,
20170707,0.08,-0.45,0.34,0.0180,1.5173,-2.0077,0.0173,-0.2082,
20170630,-0.49,0.04,3.42,0.0150,-5.5566,-0.4167,-1.2648,0.2898,
20170623,0.31,1.09,-3.86,0.0150,0.4422,-2.8046,0.0855,-0.2898,
20170616,-0.08,-1.07,-0.7,0.0150,-2.7323,2.5755,0.7904,3.2721,
20170609,-0.24,0.59,3.33,0.0150,-1.0249,0.5094,-0.7966,-0.5962,
20170602,1.09,1.06,-1.66,0.0150,3.1802,-0.4930,-0.2037,1.6859,
20170526,1.46,-0.27,-0.86,0.0160,2.3347,0.5919,3.6446,2.3414,
20170519,-0.4,-0.81,-0.45,0.0160,1.4826,-0.3786,0.6884,0.1087,
20170512,-0.32,-0.27,-1.25,0.0160,4.9696,0.7751,-0.2742,-3.1200,
20170505,0.53,-0.78,-0.48,0.0160,-0.5439,-1.8698,-0.0530,-0.0279,
20170428,1.64,0.31,-0.99,0.0140,1.5333,-0.5186,-0.1323,1.5852,
20170421,1.11,1.83,-0.19,0.0140,2.9865,-3.5414,0.6634,1.9379,
20170413,-1.2,-0.21,-1.04,0.0140,-2.4882,1.7312,0.9541,-1.1977,
20170407,-0.44,-1.34,0.15,0.0140,0.3788,-0.5857,-0.2237,-2.1764,
20170331,1.05,1.63,0.83,0.0080,0.8576,0.8400,-0.2322,2.1192,
20170324,-1.65,-0.89,-1.83,0.0080,-1.5330,-1.9856,0.6532,-2.9083,
20170317,0.48,1.85,-0.27,0.0080,0.4453,3.5339,1.6291,1.3217,
20170310,-0.55,-1.13,-1.62,0.0080,0.8828,-3.5466,-0.1972,0.7524,
20170303,0.65,-0.93,-0.1,0.0080,0.6433,-0.0462,0.6625,-0.2357,
20170224,0.48,-1.09,-0.45,0.0090,2.0950,-2.1044,1.5415,0.0884,
20170217,1.52,-0.54,-0.39,0.0090,1.0941,-3.2659,1.9137,-0.4108,
20170210,0.88,0.13,-1.23,0.0090,2.0951,-1.0316,0.9375,0.3640,
20170203,0.15,0.41,-0.64,0.0090,0.9697,0.3330,1.5629,-9.9086,
20170127,1.16,0.22,0.55,0.0090,2.6975,0.5235,0.2322,2.6863,
20170120,-0.31,-1.14,-0.18,0.0090,0.8854,-0.7119,1.6505,0.6283,
20170113,0.09,0.46,-1.06,0.0090,4.0922,-2.8541,-2.9210,-1.0103,
20170106,1.69,-0.61,-1.19,0.0090,-0.7354,-0.2108,-0.0669,0.6608,
20161230,-1.16,-0.1,0.13,0.0060,-1.9298,-1.2279,-0.4387,-1.1535,
20161223,0.32,0.17,0.73,0.0060,1.3392,-1.8276,-0.7395,0.1381,
20161216,-0.29,-1.38,-0.81,0.0060,0.0000,5.0574,2.1964,-3.2202,
20161209,3.35,2.02,1.83,0.0060,3.9190,-0.3818,3.6461,2.7550,
20161202,-1.13,-2.12,3.91,0.0060,-6.2925,1.5648,-1.5486,0.0774,
20161125,1.64,0.8,0.64,0.0040,2.8630,2.2180,0.8453,1.8841,
20161118,1.29,1,1.39,0.0040,2.2237,4.9120,-1.8387,0.5760,
20161111,4.67,6.07,2.48,0.0040,4.7508,-2.4937,-2.5073,6.5946,
20161104,-1.89,-0.53,1.16,0.0040,-0.1328,-10.0498,-1.1838,-0.7082,
20161028,-0.77,-2.36,1.46,0.0040,1.3356,-1.3222,1.3635,0.5026,
20161021,0.42,-0.31,0.67,0.0040,0.8439,1.8806,-1.1391,-1.1690,
20161014,-1.12,-1.21,0.68,0.0040,-5.0564,-0.4361,0.7894,-0.3499,
20161007,-0.57,-0.52,1.22,0.0040,-0.1288,0.8466,-2.5891,-0.5134,
20160930,0.21,-0.21,1.22,0.0050,2.4435,4.6598,1.3234,0.1373,
20160923,1.26,1.14,-0.23,0.0050,0.5457,-2.0338,1.9378,2.1753,
20160916,0.56,0.53,-2.65,0.0050,3.0129,-5.9286,1.1752,-0.7180,
20160909,-2.3,0.1,0.31,0.0050,-6.8833,-1.8227,-2.9012,-1.8047,
20160902,0.7,0.14,0.66,0.0050,1.7865,0.4396,0.3901,0.5857,
20160826,-0.53,0.65,0.36,0.0050,1.0481,0.8197,-0.6678,-1.4760,
20160819,0.15,0.37,1.49,0.0050,1.2971,2.7552,-0.3875,1.3045,
20160812,0.18,-0.34,-0.09,0.0050,6.7506,1.0531,-0.0644,1.0242,
20160805,0.56,0.47,0.66,0.0050,1.6400,-1.4150,-0.2390,0.6363,
20160729,0.07,0.77,-0.33,0.0050,2.6775,-0.8660,-0.2476,-2.0691,
20160722,0.6,0.01,-1.08,0.0050,0.7412,-2.5410,-0.4295,-0.6053,
20160715,1.6,0.58,2.29,0.0050,3.5975,1.5510,1.2757,1.3693,
20160708,1.38,0.82,-1.4,0.0050,2.8353,0.6061,2.4686,1.0648,
20160701,3.14,-0.61,-0.65,0.0050,-0.0991,0.5300,3.5166,3.7134,
20160624,-1.6,0.33,-0.21,0.0050,-1.4556,0.4260,-1.3925,-0.5825,
20160617,-1.2,-0.3,-0.15,0.0050,-2.0105,0.3156,0.0968,0.4772,
20160610,-0.25,0.55,-0.09,0.0050,0.8457,0.8251,1.5044,1.3485,
20160603,0.16,1.31,-1.32,0.0050,1.5954,-1.7486,0.5575,0.1359,
20160527,2.43,1.01,-0.86,0.0030,5.0956,1.5750,1.8411,1.4377,
20160520,0.55,0.18,0.63,0.0030,3.4594,-0.5056,-3.9951,1.6051,
20160513,-0.52,-0.58,-0.76,0.0030,-1.6613,-0.9511,-0.7459,-1.4302,
20160506,-0.63,-1.21,-0.53,0.0030,-1.3259,-0.7727,1.9239,-2.8576,
20160429,-1.19,-0.11,1.72,0.0020,-2.2788,1.0492,0.9564,-0.4274,
20160422,0.74,0.62,1.76,0.0020,1.9296,5.0010,-1.7400,-0.0190,
20160415,1.94,0.73,2.1,0.0020,0.6378,2.1717,-1.2545,1.1723,
20160408,-1.17,-0.12,-1.59,0.0020,0.3515,3.4585,1.2449,-0.6117,
20160401,2.06,1.64,-2.01,0.0020,0.3320,-0.4535,3.0326,-0.4563,
20160324,-0.8,-0.87,-0.98,0.0050,-2.0365,-3.9916,-0.6041,0.4182,
20160318,1.42,-0.28,0.21,0.0050,1.0234,2.9834,-0.0197,4.0528,
20160311,1,-0.5,1.3,0.0050,3.7305,0.3293,2.0130,0.4174,
20160304,3.08,1.21,2.43,0.0050,4.2532,-0.1147,1.6536,2.9925,
20160226,1.84,1.26,-0.11,0.0050,6.6003,-0.4870,-1.2327,0.8685,
20160219,3.09,0.95,-1.64,0.0050,4.7363,4.6615,1.1006,0.1233,
20160212,-0.82,-0.51,-0.39,0.0050,-4.3817,2.3996,1.1951,1.9521,
20160205,-3.36,-1.4,1.19,0.0050,-5.9537,-5.0048,-2.0141,2.3016,
20160129,1.71,-0.63,3.74,0.0020,3.7981,7.5886,3.5361,3.6050,
20160122,1.38,0.2,-1.59,0.0020,6.2655,1.5957,2.0235,-0.1556,
20160115,-2.55,-1.35,-0.18,0.0020,-2.4620,-0.6034,-3.4324,-1.4882,
20160108,-6.22,-1.76,0.53,0.0020,-11.3896,-6.7926,-2.7496,-5.1605,
20151231,-0.9,-0.77,-0.57,0.0030,-1.5352,-2.3245,-0.6186,-1.1469,
20151224,2.83,0.23,0.99,0.0030,2.5068,4.7952,2.6609,-0.6758,
20151218,-0.35,0.14,-0.79,0.0030,3.1966,0.9836,0.1226,0.5526,
20151211,-3.93,-0.86,-1.68,0.0030,-5.9359,-8.2658,-2.6019,-5.7808,
20151204,-0.19,-1.53,0.14,0.0030,-0.6733,-4.7249,0.3172,-0.8870,
20151127,0.38,2.42,-0.92,0.0010,1.4332,1.4738,0.6373,0.0768,
20151120,3.14,-0.53,-0.89,0.0010,3.7416,0.7859,2.0794,2.9528,
20151113,-3.72,-0.88,-0.03,0.0010,-4.7287,-2.1399,-1.6991,-3.1051,
20151106,1.38,2.63,0.54,0.0010,-0.9154,0.7485,-2.4468,1.8942,
20151030,0.17,-0.42,-1.44,0.0000,-1.6838,1.1194,-0.2346,-3.6035,
20151023,1.7,-1.53,0.22,0.0000,4.5193,-0.7027,2.7014,2.7048,
20151016,0.62,-1.23,0.09,0.0000,1.4376,0.8523,0.2309,0.2601,
20151009,3.44,1.53,2.04,0.0000,6.4495,6.7587,5.4861,4.2358,
20151002,0.73,-1.58,0.61,0.0000,4.7201,3.9584,0.7355,0.6258,
20150925,-1.77,-2.69,3.65,0.0000,-3.3740,-1.0830,0.4504,0.4465,
20150918,-0.15,1.19,-1.76,0.0000,-1.7136,0.9951,1.5487,1.1663,
20150911,2.09,-0.47,-1.54,0.0000,6.8115,-4.0287,1.5391,1.9535,
20150904,-3.08,1.48,0.15,0.0000,-5.3194,-3.0959,-2.8302,-3.4447,
20150828,1.07,0,-0.8,0.0010,5.7104,3.6574,-2.8667,-0.5056,
20150821,-5.69,1.21,0,0.0010,-5.8260,-5.8056,-3.0492,-2.8446,
20150814,0.69,-0.34,1.26,0.0010,-0.6218,6.5011,0.1311,0.5760,
20150807,-1.36,-1.22,0.88,0.0010,1.6667,-2.0435,2.8142,-0.2152,
20150731,1.19,0.01,-0.76,0.0000,2.2903,2.5683,0.1766,7.7254,
20150724,-2.33,-1.44,-0.39,0.0000,-5.7318,-4.9889,-0.6219,-2.9636,
20150717,2.27,-1.46,-1.7,0.0000,-1.1436,-1.9143,1.2790,0.6579,
20150710,-0.02,0.12,-1.32,0.0000,-3.6774,-3.2477,0.9358,-0.2472,
20150702,-1.33,-1.56,-0.69,0.0000,-3.9816,-4.4928,-0.2637,-2.1878,
20150626,-0.35,0.35,0.62,0.0000,-2.5488,1.5778,0.0527,-1.4886,
20150619,0.83,0.67,-1.39,0.0000,4.7623,1.1984,1.1877,0.7765,
20150612,0.11,0.11,0.6,0.0000,-0.2109,-1.6702,1.4729,-0.4487,
20150605,-0.29,1.85,-0.09,0.0000,-3.4583,1.1445,-3.5680,1.2918,
20150529,-0.79,0.42,-0.17,0.0000,2.2296,1.5206,0.1764,-2.2030,
20150522,0.32,0.41,-0.14,0.0000,-1.7612,0.2210,-2.0157,0.0491,
20150515,0.41,0.32,-0.48,0.0000,0.5905,-1.3701,1.7149,1.7483,
20150508,0.41,-0.01,0.12,0.0000,0.7790,-3.2831,1.0307,-1.0112,
20150501,-0.77,-2.57,2.43,0.0000,2.6273,0.9110,0.4090,3.2888,
20150424,1.77,-0.26,-1.38,0.0010,-3.8749,-0.9482,-0.6702,2.8118,
20150417,-1.02,0.02,0.74,0.0010,-1.6129,2.6168,-0.4062,-1.4675,
20150410,1.67,-0.7,-1.36,0.0010,3.7079,5.0992,0.5315,0.3312,
20150402,0.45,0.7,1.07,0.0010,-2.1153,2.4853,-0.2713,-0.1243,
20150327,-2.16,0.4,0.23,0.0000,-3.3176,0.0000,0.6378,-3.7192,
20150320,2.59,0,-1.02,0.0000,2.6897,-0.1649,1.0756,1.7306,
20150313,-0.61,1.65,0.49,0.0000,-2.4535,-1.6801,-1.2745,-2.0990,
20150306,-1.36,0.51,-0.53,0.0000,-1.0194,-4.0752,-2.8800,-1.0971,
20150227,-0.19,0.63,-0.48,0.0000,1.3719,-2.8107,-0.0808,0.4881,
20150220,0.8,0.13,-1.41,0.0000,0.4329,-3.6889,-0.0707,0.1669,
20150213,2.1,-0.47,-1.33,0.0000,4.1677,1.6499,2.4715,1.1064,
20150206,3.32,0.2,1.53,0.0000,7.5564,2.1639,3.0765,1.8345,
20150130,-2.5,0.6,-0.54,0.0000,-3.1000,1.4479,-4.9410,-4.0547,
20150123,1.64,-0.68,-0.42,0.0000,3.6782,1.0070,1.2665,-6.9155,
20150116,-1.32,0.42,-0.32,0.0000,0.7162,0.6684,0.4843,0.6367,
20150109,-0.78,-0.38,-2.3,0.0000,-0.7770,-5.2328,2.4926,-0.7041,